Leaf No.,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Avg Total Chlorophyll (µg/cm2),leaf
81,0.1538253582049202,0.0907250664560833,0.1096232543414279,0.0708424781662371,0.1023503358951932,0.1690284246360769,0.1360707348114408,0.1002443239377867,0.0942696880719449,0.0741169122579749,0.1332191122222416,0.1750796460176991,0.4747096774193549,0.4787784312336144,0.4016863838927896,0.475662473103689,0.4429957550030322,0.4014927693982273,56.30920909,mango
82,0.1538253582049202,0.0886896751159505,0.1037526040750598,0.0708424781662371,0.0999993796949339,0.1710542804035003,0.1396744591064371,0.1046064000953459,0.0867282446969597,0.0803858520900321,0.1149670448784069,0.1721061946902654,0.455268817204301,0.448522638701906,0.3876438716296367,0.4491053947700002,0.4408058756148508,0.4091121132016794,54.265239363333336,mango
83,0.1666666666666666,0.0886896751159505,0.1057107903489949,0.0659611864453085,0.097183194695151,0.1663290240387627,0.1547859870051577,0.108968476252905,0.0980387638748074,0.0761988479955585,0.1295652021888494,0.1899469026548672,0.4902795698924732,0.4848721037341458,0.4045077105575326,0.4800821912497334,0.4298227882218179,0.3939511740009329,47.94354766333333,mango
84,0.1409840497431738,0.0835845132300437,0.1220211921875793,0.0553789831249373,0.0901427321956938,0.1757743154904868,0.1526291111259963,0.1189321256182587,0.0912511356603947,0.0887367276596729,0.1478172695326841,0.1780530973451327,0.4630537634408602,0.4787784312336144,0.3988650572280465,0.4734526140306667,0.4408058756148508,0.3939511740009329,57.099052916666665,mango
85,0.1538253582049202,0.0795137305497781,0.0851556973058327,0.0773630096441939,0.0920160534951089,0.1406873290031536,0.1634268872663943,0.1344973481914069,0.1297121676958932,0.1075204145365379,0.1186209549117991,0.1987964601769911,0.4630537634408602,0.4424289662013746,0.3567375204385881,0.3982204819043557,0.4408058756148508,0.4166537085989737,48.293243106666665,mango
86,0.1538253582049202,0.0856310269272264,0.1021188279023955,0.0675913193147977,0.1009360403446415,0.1734142979469936,0.1418313349855985,0.1039866515702282,0.091629689125311,0.0751578801267667,0.1350373258273746,0.1928495575221238,0.536989247311828,0.5273152412669171,0.3848225449648937,0.4491053947700002,0.4342025469981807,0.4014927693982273,46.01157404333333,mango
87,0.1409840497431738,0.0795137305497781,0.0926601237448651,0.061070787836841,0.0821594059958687,0.1325891272112111,0.1101480340277312,0.0853107681306239,0.081448246803692,0.0720349765203914,0.1277295057605902,0.1721061946902654,0.5136344086021506,0.5091050804223057,0.3763906255009458,0.4468955356969779,0.4232531500572737,0.4014927693982273,59.57915006333334,mango
88,0.1409840497431738,0.0815491218899109,0.1017944178011248,0.0651506734543335,0.0934241459950003,0.152497859276122,0.1216692343760466,0.0909123413384184,0.0806944316431195,0.0730759443891831,0.1259112921554572,0.1691327433628318,0.4747096774193549,0.4787784312336144,0.3820332788304318,0.4513152538430224,0.4363924263863621,0.3939511740009329,59.71110639666667,mango
89,0.1538253582049202,0.1090769555884283,0.1419235564727632,0.070031965175262,0.1093907983946504,0.1794866439715126,0.1454216625360037,0.1133305524104642,0.0633500994114316,0.0897776955284647,0.1186209549117991,0.1780530973451327,0.4474838709677419,0.4666619428895345,0.3763906255009458,0.4513152538430224,0.4408058756148508,0.4091121132016794,69.16990089,mango
90,0.1538253582049202,0.0886896751159505,0.1122341693733413,0.0684018323057728,0.1009360403446415,0.1518243144462313,0.105110858061491,0.0796972766819617,0.0822020619642645,0.0688889402947095,0.1569258203814752,0.1810265486725663,0.5642150537634408,0.5818040104867853,0.4072969766919945,0.4712427549576444,0.4649282393369719,0.4166537085989737,78.32532597333334,mango
