,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
19803,82,1,64,50,0.1281427412814274,0.0968423628335316,0.1425762852307415,0.0659611864453085,0.1089193665444665,0.1757743154904868,0.0907093576260968,0.0759668672903879,0.0754144337498518,0.0636841009507506,0.085770730257522,0.1187256637168141,0.3813333333333333,0.3636363636363637,0.3173992497835914,0.3738926473724,0.3157806077757563,0.3409267610013994,b'White IR',12.5 mA,b'OK Read',10:51:11,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
19804,82,1,64,50,0.0654608929170862,0.0593975529930237,0.1229685607191874,0.0495083079009833,0.0991340357138771,0.1717971179312217,0.086594937366807,0.0713797733751089,0.0746606185892793,0.0533821330536276,0.0693368765188202,0.1067622813484351,0.3840031834460804,0.3624166339741074,0.1557676115632893,0.1277032065622669,0.0834222317047151,0.0755228505034856,b'White UV',12.5 mA,b'OK Read',10:51:12,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
19805,82,1,64,50,0.108387787214939,0.0596015293781049,0.0266010749749476,0.0251275092414954,0.0614279091330551,0.0798514391829155,0.1860666378191259,0.255896751223854,0.300174520069808,0.2459135488557936,0.6427104722792608,0.3225558121632024,0.6921768707482994,0.4760579064587973,0.3958055925432756,0.4029407332457859,0.3482630794512172,0.4375668163352577,b'UV IR',12.5 mA,b'OK Read',10:51:13,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
19806,82,1,64,50,0.0978886494448839,0.0762305509345337,0.1312401287868749,0.0573220367781648,0.1043917339031912,0.1739550553669513,0.0903348653972422,0.0763033287003227,0.0754144337498518,0.0653068608384966,0.0885597115180654,0.1214449386709799,0.3861124151764756,0.373477005422917,0.3165062821701461,0.3738926473724,0.3138363315931233,0.3333085446568007,b'White UV IR',12.5 mA,b'OK Read',10:51:14,49.25679658333333,40.01370399333333,9.243092593,4.220262626,3.4283256566666664,0.7919369700000001
20016,83,1,64,50,0.1127116127116127,0.0994863416108058,0.1487539399363329,0.0639374467187944,0.1086458586879864,0.1876884106514821,0.0789328302903725,0.0686442312328238,0.0826739606848028,0.0538459738375494,0.0788021498031743,0.0984436940243723,0.4048599301888481,0.3835682254964766,0.1694554599090821,0.1304761904761904,0.0818433643918408,0.0930787589498806,b'White',12.5 mA,b'OK Read',12:26:13,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
20017,83,1,64,50,0.4292168674698794,0.2850467289719626,0.285958904109589,0.3748251748251748,0.3330396475770925,0.3333333333333333,0.455160744500846,0.3999999999999999,0.5007278020378456,0.3073863636363636,0.5452961672473868,0.4605504587155963,0.5457286432160804,0.4209230769230769,0.4225883476599809,0.4250500527437514,0.3299667208420401,0.4332953249714937,b'IR',12.5 mA,b'OK Read',12:26:15,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
20018,83,1,64,50,0.0688959594564342,0.0358262181531392,0.0085981154250603,0.0064872192099147,0.0088672264959774,0.0243442158897905,0.0468159348647862,0.0423625254582484,0.0,0.061081081081081,0.5,0.081237911025145,0.7486187845303868,0.5,0.2514285714285714,0.0,0.0665983606557377,0.0765588003157063,b'UV',12.5 mA,b'OK Read',12:26:16,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
20019,83,1,64,50,0.1281427412814274,0.1009131455137972,0.154974223076893,0.0659611864453085,0.1093907983946504,0.1875848457634552,0.0813584299015339,0.0722245396579465,0.0837096922854095,0.0636841009507506,0.0821168202241297,0.1127787610619469,0.4085591397849462,0.3878693403245234,0.3370844153762303,0.3960106228313335,0.2982615726703052,0.325765821800653,b'White IR',12.5 mA,b'OK Read',12:26:16,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
20020,83,1,64,50,0.0703001007049345,0.0623695137927682,0.1336127488649443,0.0495083079009833,0.0991340357138771,0.1833848171428278,0.0768101252663859,0.0676929963014441,0.0825806154291808,0.0533821330536276,0.0748090001573454,0.0983178071174854,0.4160145023654773,0.3892506865437427,0.1639068200954251,0.1277032065622669,0.0834222317047151,0.0755228505034856,b'White UV',12.5 mA,b'OK Read',12:26:17,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
20021,83,1,64,50,0.1161284763947524,0.0631648763232501,0.0266010749749476,0.0251275092414954,0.0614279091330551,0.0798514391829155,0.1860666378191259,0.2323097463284379,0.300174520069808,0.2459135488557936,0.6427104722792608,0.2902232486528098,0.6156462585034015,0.4760579064587973,0.4208198592353052,0.4250500527437514,0.3258684602743914,0.4167201197348728,b'UV IR',12.5 mA,b'OK Read',12:26:18,47.694628755,37.688691615,10.0059371405,4.2141185415,3.3300314585,0.8840870835000001
