Leaf No.,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Avg Total Chlorophyll (µg/cm2),leaf
17,0.1246056800927362,0.1355976515267592,0.2787038977122096,0.2643113210413264,0.206956529044518,0.1330784124124903,19.19219542,banana
18,0.0871012948642761,0.1011103845788278,0.1620153507827229,0.1601533452877079,0.1260869507543278,0.0959847661312818,76.18880164333332,banana
19,0.0981423044927464,0.0992815481628589,0.1603296257537244,0.1551537568449646,0.1264347897346526,0.0952199366442609,65.37167558666668,banana
20,0.0997195915825279,0.1504899116369857,0.3090466341759463,0.2973085416895236,0.2299130542569117,0.1464626782185111,13.009980116666666,banana
21,0.0890290868803529,0.1008491161049426,0.1661359693148353,0.1636530361729919,0.1293913105253643,0.0990439172681358,56.75211462333334,banana
22,0.1049771953198624,0.1371652623700701,0.2740213243099517,0.2666444249374753,0.2038260887636439,0.1326959976689798,16.24644707,banana
23,0.1014721162140042,0.0951012525806965,0.1539613971131871,0.1503207886453227,0.1203478286630668,0.0921606186961775,68.32959374,banana
24,0.0899053641175438,0.1042456062654496,0.1687581811079978,0.1668194515310122,0.1255651922838407,0.0959847661312818,54.51767387666666,banana
25,0.0958640075503744,0.0890920776813379,0.1500280968711232,0.1439880280114033,0.1224347888503162,0.0978967564432192,72.63928697666667,banana
26,0.0842972256110085,0.0896146575303355,0.1526503086642857,0.145987821339228,0.1111304641579566,0.0822179187705211,61.189856405,banana
27,0.0988433441882426,0.1058132171087606,0.1818692749691695,0.1804849745859451,0.1513043556441333,0.112428349885386,65.13233359333333,banana
28,0.121100600986878,0.1178314811050232,0.2122120114329062,0.2066494337066759,0.1603478375064308,0.1193116484573443,34.839382863333334,banana
29,0.0811426514314455,0.090920956998534,0.142161461491636,0.1393217150959236,0.1081739065198953,0.0875716417740524,79.25833077666667,banana
30,0.0899053641175438,0.0958850580023519,0.1498407785810747,0.1498208578338969,0.1139130286111563,0.088336554666688,69.28109059666667,banana
31,0.1011216411306146,0.1400391726815796,0.300430795426984,0.2821431561181919,0.2102608888155545,0.1273422746654486,19.58267273333333,banana
32,0.0748335030723196,0.0859568988959433,0.1442217533100124,0.1378218525795249,0.105391305219346,0.078776269484542,62.72111009,banana
