,Leaf No.,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
2523,11,1,64,50,0.1154366044876993,0.1223236828348663,0.1902098503414123,0.0846940541131257,0.1445993139425969,0.2081671226582569,0.2282269408533726,0.2148143733984863,0.2183265961789142,0.1555437322167989,0.1733596741201769,0.2552212389380531,0.3463225806451613,0.3090767377595125,0.3398736815106922,0.3672436854246225,0.3706286638366687,0.3939511740009329,b'White IR',12.5 mA,b'OK Read',10:13:07,12.31811558,10.589299946666667,1.7288156373333334,1.167927301,1.0037902216666668,0.1641370793333333
2775,12,1,64,50,0.1409840497431738,0.1111123469285611,0.1641124256885897,0.0773630096441939,0.1380302832933236,0.2321171237025124,0.0698372295532185,0.0740957034741672,0.1210416474646793,0.0761988479955585,0.1113131348450147,0.1098053097345132,0.4474838709677419,0.3878693403245234,0.269661120194928,0.2986605152460891,0.2478269658378815,0.2954439433991603,b'White IR',12.5 mA,b'OK Read',10:30:52,17.773013289999998,14.70633405,3.0666792416666664,2.095760188,1.7341241639999998,0.3616360236666666
3027,13,1,64,50,0.1666666666666666,0.1284409792123146,0.1892327114821633,0.1058675676414071,0.1807506931909113,0.2719293665545832,0.0921562060419318,0.1095882247780227,0.2424585566250148,0.1127252538804969,0.1642336404482595,0.1661592920353982,0.4396989247311827,0.369730036136895,0.3483056009746401,0.3738926473724,0.2741392089481841,0.325765821800653,b'White IR',12.5 mA,b'OK Read',10:48:23,8.341274355000001,7.148699472666666,1.1925748823333333,0.8527596856666667,0.7308231853333332,0.1219365006666666
3279,14,1,64,50,0.1154366044876993,0.1202882914947335,0.1869501151069576,0.0830639212436365,0.1464788382926723,0.2165994862262692,0.1180655100810503,0.1120791371193611,0.1538474199112539,0.0897776955284647,0.1551076067763422,0.1721061946902654,0.3891182795698925,0.3394033869482038,0.3455163348401783,0.3871711865392443,0.3179704871639377,0.3560877002021458,b'White IR',12.5 mA,b'OK Read',11:01:59,20.26094802333333,16.876511596666667,3.384436427666667,1.9998540953333328,1.6657139046666665,0.3341401903333333
3531,15,1,64,50,0.1409840497431738,0.1284409792123146,0.1938018127880116,0.1148196380922891,0.1798140325412037,0.2425805643156993,0.1763815392859535,0.1942673261426613,0.3276758792315694,0.1795322584376229,0.1989020787076697,0.2522477876106195,0.3774193548387097,0.3272868986041238,0.3736013593664839,0.3849613274662221,0.3179704871639377,0.3787902348001866,b'White IR',12.5 mA,b'OK Read',11:14:34,4.5715718406666666,4.109723106333334,0.4618487343333333,0.4506378813333334,0.404652748,0.0459851333333333
3783,16,1,64,50,0.1154366044876993,0.1274177223637233,0.196408819264488,0.0895753458340542,0.1492950232924552,0.2139000856289551,0.18502243954719,0.1936475776175436,0.2503785534649163,0.1565847000855907,0.1824857077920942,0.2433274336283185,0.3463225806451613,0.3090767377595125,0.3426950081754352,0.3628239672785779,0.3355232127215147,0.3864095786036386,b'White IR',12.5 mA,b'OK Read',11:27:42,7.952168069666667,6.941628350999999,1.0105397186666665,0.9117851996666668,0.796262664,0.1155225356666666
4035,17,1,64,50,0.1281427412814274,0.1223236828348663,0.1876028438649359,0.0838744342346116,0.1389669439430312,0.2209853595371859,0.1159086342018889,0.1126988856444788,0.1417797938035735,0.09290059913484,0.1186209549117991,0.1572389380530973,0.428,0.3878693403245234,0.365169439902536,0.4181285982902669,0.3377130921096961,0.3787902348001866,b'White IR',12.5 mA,b'OK Read',9:38:12,32.240294580000004,26.13324059,6.107053987333333,2.2499515666666667,1.8233960056666667,0.4265555606666666
4287,18,1,64,50,0.1281427412814274,0.1274177223637233,0.196408819264488,0.0879452129645651,0.1558702569923888,0.2378553079509617,0.0648000535869783,0.0635123055836958,0.1255645384281143,0.0688889402947095,0.1277295057605902,0.0949380530973451,0.4046881720430107,0.3515198752922837,0.2780930396588759,0.3163781572876887,0.2346539990566673,0.2802830041984139,b'White IR',12.5 mA,b'OK Read',9:52:52,21.79069738333333,17.846340180000002,3.944357202666666,2.183246786,1.786886547,0.396360239
4539,19,1,64,50,0.1409840497431738,0.0947958491363489,0.1429046038874492,0.0692214521842869,0.1075112740445751,0.19770368204507,0.0950365061290106,0.0846791013646385,0.0980387638748074,0.0709708760322931,0.0948967639294393,0.1364955752212389,0.4435698924731182,0.4121023170126833,0.3370844153762303,0.3938007637583112,0.3135907283875749,0.3484683563986938,b'White IR',12.5 mA,b'OK Read',10:05:42,42.33249078333333,34.08798503333333,8.244505749333333,2.920105967,2.3514395473333334,0.5686664203333334
4791,20,1,64,50,0.1538253582049202,0.0795137305497781,0.1086461154821789,0.0716620980447512,0.097183194695151,0.1801601888014034,0.0921562060419318,0.0853107681306239,0.1036940234637312,0.0741169122579749,0.0930610675011801,0.1335221238938053,0.4591397849462366,0.4364061503578261,0.3398736815106922,0.3982204819043557,0.3135907283875749,0.3560877002021458,b'White IR',12.5 mA,b'OK Read',10:18:01,46.77751998333334,37.38856900333334,9.388950979666667,3.034177937666666,2.4251721756666664,0.6090057619999999
